OrderID,CustomerID,ProductID,OrderDate,OrderTime,Quantity,ProductPrice,TotalAmount,OrderStatus,PaymentMethod,ShippingMethod,ShippingDate,ProductCategory,CustomerRating,CancellationReason
ORD607942,CUS1633,PID7542,2025-02-08,21:45:25,1,471.86,471.86,Delivered,Debit Card,Standard,2025-02-10,Toys,1.6,
ORD217059,CUS3214,PID9351,2023-12-19,20:05:43,2,333.35,666.7,Shipped,Gift Card,Standard,2023-12-21,Books,,
ORD166124,CUS3773,PID4787,2025-05-12,06:04:21,2,195.38,390.76,Shipped,Debit Card,Next-Day,2025-05-13,Beauty,,
ORD780667,CUS6246,PID8276,2025-06-07,15:50:50,4,97.28,389.12,Cancelled,,Next-Day,,Clothing,,
ORD486826,CUS4923,PID8549,2025-07-28,07:35:22,3,162.16,486.48,Shipped,Gift Card,Express,2025-07-31,Beauty,,
ORD366831,CUS5000,PID8575,2024-06-10,17:16:43,2,339.8,679.6,Returned,PayPal,Standard,,Toys,,
ORD458075,CUS7180,PID8295,2024-04-10,05:18:32,4,304.77,1219.08,Shipped,credit card,Express,2024-04-12,Sports,,
ORD827661,CUS6637,PID8461,2024-09-14,19:07:32,4,474.87,1899.48,Returned,PayPal,Standard,,Electronics,,
ORD166793,CUS3838,PID5225,2023-10-30,01:51:48,5,465.14,2325.7,Returned,credit card,Express,,Sports,,
ORD736917,CUS9376,PID6956,2023-10-05,03:17:27,5,222.02,1110.1,Returned,paypal,Express,,Beauty,,
ORD791646,CUS4888,PID5321,2024-07-21,11:12:32,1,134.97,134.97,Returned,Debit Card,Next-Day,,Sports,,
ORD180387,CUS6993,PID4920,2024-08-24,10:24:33,1,152.81,152.81,Cancelled,,Standard,,Books,,Customer request
ORD477008,CUS5321,PID5690,2024-06-10,04:18:33,5,236.17,1180.85,Delivered,credit card,Express,2024-06-12,Sports,2.0,
ORD730788,CUS2277,PID3713,2024-01-04,15:43:25,1,27.74,27.74,Returned,PayPal,Standard,,Books,,
ORD652396,CUS7835,PID6601,2023-10-10,21:16:12,4,284.84,1139.36,Returned,Debit Card,Standard,,Books,,
ORD947359,CUS4874,PID7173,2024-08-28,18:34:21,2,207.18,414.36,Returned,Debit Card,Express,,Toys,,
ORD922190,CUS8878,PID5864,2024-10-04,00:44:47,3,280.58,841.74,Delivered,Gift Card,Express,2024-10-07,Electronics,1.1,
ORD474058,CUS6990,PID7802,2024-06-22,14:44:48,1,185.46,185.46,Shipped,Bank Transfer,Express,2024-06-25,Electronics,,
ORD126309,CUS2034,PID8143,2024-10-20,10:58:31,2,178.12,356.24,Cancelled,,Standard,,Books,,Fraud detected
ORD461621,CUS2222,PID3506,2023-10-17,11:03:12,2,401.18,802.36,Delivered,Credit Card,Standard,2023-10-19,Clothing,1.6,
ORD304040,CUS8423,PID3945,2025-06-23,08:46:41,3,319.48,958.44,Cancelled,,Next-Day,,Electronics,,
ORD724555,CUS6764,PID8295,2025-07-16,17:44:19,5,304.77,1523.85,Processing,Bank Transfer,Express,,Sports,,
ORD115496,CUS4888,PID2679,2024-05-06,10:57:44,1,144.46,144.46,Shipped,credit card,Express,2024-05-07,Sports,,
ORD898673,CUS8476,PID2784,2024-11-18,14:50:23,2,326.49,652.98,Shipped,Debit Card,Express,2024-11-20,Electronics,,
ORD254128,CUS3579,PID1487,2023-11-24,23:32:36,2,310.58,621.16,Returned,paypal,Standard,,Toys,,
ORD167459,CUS5574,PID6131,2024-03-28,16:07:30,5,459.11,2295.55,Processing,Gift Card,Standard,,Toys,,
ORD605043,CUS3678,PID1800,2024-11-06,09:30:21,1,467.08,467.08,Cancelled,,Standard,,Toys,,
ORD747991,CUS1156,PID9684,2025-05-24,05:19:50,4,66.47,265.88,Processing,paypal,Next-Day,,Toys,,
ORD850998,CUS9761,PID9453,2024-08-06,17:09:49,3,498.04,1494.12,Processing,PayPal,Standard,,Books,,
ORD528365,CUS8224,PID8850,2025-03-28,08:59:01,4,131.2,524.8,Cancelled,,Standard,,Toys,,
ORD533003,CUS1591,PID8056,2024-06-25,06:22:02,2,209.86,419.72,Returned,PayPal,Express,,Beauty,,
ORD223993,CUS2676,PID7163,2023-09-11,02:07:22,3,183.14,549.42,Shipped,credit card,Express,2023-09-12,Toys,,
ORD127288,CUS8750,PID1992,2024-07-21,18:23:53,4,184.59,738.36,Cancelled,,Express,,Sports,,Customer request
ORD439677,CUS6870,PID1735,2025-06-20,18:41:01,3,228.19,684.57,Returned,Debit Card,Next-Day,,Books,,
ORD592692,CUS2880,PID1076,2024-04-30,04:33:43,2,461.5,923.0,Returned,credit card,Next-Day,,Beauty,,
ORD566594,CUS9485,PID6384,2025-05-14,15:03:09,5,270.72,1353.6,Delivered,PayPal,Standard,2025-05-16,Toys,2.0,
ORD506233,CUS8808,PID1831,2024-03-16,03:47:05,2,163.54,327.08,Delivered,Debit Card,Next-Day,2024-03-18,Beauty,2.5,
ORD705317,CUS6670,PID3659,2024-09-08,17:19:43,5,68.69,343.45,Delivered,Gift Card,Next-Day,2024-09-10,Electronics,4.7,
ORD188414,CUS1444,PID8005,2024-07-01,09:11:08,3,418.44,1255.32,Shipped,Bank Transfer,Express,2024-07-02,Clothing,,
ORD779430,CUS2045,PID8575,2025-06-05,20:34:09,3,339.8,1019.4,Delivered,Gift Card,Next-Day,2025-06-06,Toys,1.7,
ORD225088,CUS4864,PID3074,2025-06-29,00:30:05,2,431.98,863.96,Delivered,Credit Card,Express,2025-07-02,Books,1.8,
ORD486624,CUS2076,PID5970,2024-09-04,09:08:17,4,11.83,47.32,Processing,Bank Transfer,Express,,Clothing,,
ORD669941,CUS1619,PID4416,2024-06-09,09:14:29,1,499.06,499.06,Shipped,paypal,Next-Day,2024-06-12,Home & Kitchen,,
ORD792817,CUS3184,PID5061,2023-11-07,23:46:52,4,287.02,1148.08,Processing,Credit Card,Express,,Toys,,
ORD923614,CUS5485,PID5061,2025-05-25,10:53:57,5,287.02,1435.1,Processing,Credit Card,Express,,Toys,,
ORD898836,CUS7762,PID1549,2025-07-11,19:25:41,3,455.49,1366.47,Cancelled,,Standard,,Home & Kitchen,,
ORD346940,CUS3933,PID9877,2025-02-10,22:36:10,4,54.96,219.84,Shipped,Credit Card,Standard,2025-02-13,Sports,,
ORD440475,CUS2979,PID9775,2025-05-22,09:28:50,3,239.64,718.92,Shipped,credit card,Standard,2025-05-24,Home & Kitchen,,
ORD570202,CUS8020,PID1484,2024-11-01,15:31:10,1,401.32,401.32,Returned,paypal,Express,,Home & Kitchen,,
ORD671408,CUS3660,PID4679,2024-08-06,09:02:13,1,162.33,162.33,Processing,paypal,Next-Day,,Electronics,,
ORD768186,CUS3263,PID3026,2023-12-15,18:01:35,2,381.6,763.2,Processing,Gift Card,Next-Day,,Toys,,
ORD233923,CUS9389,PID1800,2024-10-15,08:17:08,2,467.08,934.16,Cancelled,,Standard,,Toys,,Payment failed
ORD537840,CUS1592,PID6364,2024-04-15,23:16:52,1,459.8,459.8,Returned,Debit Card,Next-Day,,Clothing,,
ORD886202,CUS9242,PID5061,2024-04-25,12:50:29,2,287.02,574.04,Processing,Credit Card,Next-Day,,Toys,,
ORD838497,CUS2330,PID5864,2023-11-26,20:38:26,1,280.58,280.58,Delivered,Debit Card,Next-Day,2023-11-29,Electronics,3.4,
ORD276249,CUS4343,PID5808,2025-07-29,17:13:42,2,375.23,750.46,Shipped,Credit Card,Express,2025-08-01,Toys,,
ORD582796,CUS8057,PID8549,2023-09-23,20:12:21,5,162.16,810.8,Processing,credit card,Standard,,Beauty,,
ORD494071,CUS6536,PID4836,2023-10-16,04:44:30,5,241.4,1207.0,Shipped,credit card,Standard,2023-10-19,Books,,
ORD809016,CUS5550,PID2367,2025-02-14,22:22:34,3,332.63,997.89,Returned,Gift Card,Standard,,Home & Kitchen,,
ORD923373,CUS7631,PID3291,2023-11-22,06:51:08,5,467.2,2336.0,Shipped,credit card,Express,2023-11-23,Electronics,,
ORD348820,CUS9524,PID5171,2024-01-22,10:28:42,1,298.29,298.29,Processing,PayPal,Next-Day,,Electronics,,
ORD224633,CUS4730,PID8571,2025-02-06,04:59:37,5,22.2,111.0,Shipped,Bank Transfer,Express,2025-02-08,Home & Kitchen,,
ORD605199,CUS6241,PID8622,2025-06-25,00:53:09,2,405.92,811.84,Delivered,credit card,Next-Day,2025-06-28,Electronics,5.0,
ORD411422,CUS8077,PID4679,2023-09-07,15:20:47,5,162.33,811.65,Shipped,Gift Card,Standard,2023-09-10,Electronics,,
ORD797218,CUS9395,PID9107,2025-08-17,21:23:12,5,333.04,1665.2,Cancelled,,Standard,,Beauty,,Customer request
ORD906348,CUS4299,PID6415,2024-04-02,03:06:07,4,162.47,649.88,Returned,Debit Card,Express,,Electronics,,
ORD186926,CUS4181,PID8002,2024-08-08,06:12:19,4,220.67,882.68,Processing,paypal,Express,,Sports,,
ORD340601,CUS3796,PID6472,2025-04-15,10:44:55,4,248.64,994.56,Shipped,credit card,Express,2025-04-18,Toys,,
ORD613841,CUS6814,PID5537,2024-07-04,09:39:03,1,287.6,287.6,Returned,credit card,Standard,,Sports,,
ORD166827,CUS7338,PID3506,2023-10-23,09:20:37,1,401.18,401.18,Returned,Credit Card,Standard,,Clothing,,
ORD402978,CUS2316,PID6234,2023-10-07,09:56:23,5,376.89,1884.45,Cancelled,,Standard,,Sports,,Customer request
ORD514349,CUS8020,PID1516,2024-02-10,05:32:09,3,142.77,428.31,Returned,Bank Transfer,Express,,Home & Kitchen,,
ORD160126,CUS5916,PID6557,2024-03-05,03:39:24,5,198.9,994.5,Returned,Credit Card,Express,,Books,,
ORD921162,CUS8668,PID6435,2024-11-20,13:31:01,2,353.56,707.12,Delivered,Gift Card,Express,2024-11-21,Beauty,4.7,
ORD899337,CUS8338,PID2872,2025-01-13,21:31:48,2,307.65,615.3,Shipped,Credit Card,Express,2025-01-15,Sports,,
ORD895786,CUS2242,PID3026,2023-11-04,14:41:59,3,381.6,1144.8,Shipped,Credit Card,Standard,2023-11-07,Toys,,
ORD744462,CUS3945,PID5653,2024-10-26,06:32:18,2,169.74,339.48,Shipped,Debit Card,Express,2024-10-27,Toys,,
ORD873830,CUS8610,PID2905,2024-08-16,08:48:33,2,219.88,439.76,Cancelled,,Standard,,Home & Kitchen,,Payment failed
ORD877758,CUS4883,PID5808,2025-05-14,12:21:55,4,375.23,1500.92,Delivered,PayPal,Express,2025-05-16,Toys,3.3,
ORD739386,CUS1028,PID8575,2024-07-21,20:10:49,4,339.8,1359.2,Delivered,PayPal,Standard,2024-07-23,Toys,4.8,
ORD672119,CUS4859,PID7244,2024-07-10,19:06:45,4,331.22,1324.88,Cancelled,,Standard,,Books,,Fraud detected
